Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/10/1976,12/13/1976,53,32,15
06/08/1976,06/08/1976,45,39,14
05/17/1976,05/17/1976,47,37,15
04/09/1976,04/12/1976,48,41,11
03/16/1976,03/16/1976,50,35,13
02/27/1976,03/01/1976,50,39,11
01/27/1976,01/27/1976,46,39,13
01/20/1976,01/20/1976,44,44,10
12/30/1975,12/30/1975,45,41,12
12/12/1975,12/15/1975,39,45,15
12/02/1975,12/02/1975,45,37,16
11/18/1975,11/18/1975,41,46,12
10/28/1975,10/28/1975,44,43,12
10/14/1975,10/14/1975,46,40,13
10/03/1975,10/06/1975,47,36,16
09/09/1975,09/09/1975,44,38,17
08/12/1975,08/12/1975,46,38,14
07/29/1975,07/29/1975,45,36,18
06/24/1975,06/24/1975,51,33,14
05/27/1975,05/27/1975,50,32,16
05/02/1975,05/05/1975,39,43,17
04/15/1975,04/15/1975,39,46,14
04/01/1975,04/01/1975,43,36,19
03/25/1975,03/25/1975,36,43,19
03/04/1975,03/04/1975,38,44,16
02/25/1975,02/25/1975,38,45,16
01/28/1975,01/28/1975,38,43,18
01/07/1975,01/07/1975,37,38,24
12/03/1974,12/03/1974,42,41,16
11/12/1974,11/12/1974,48,31,20
11/05/1974,11/05/1974,47,33,19
10/15/1974,10/15/1974,53,28,17
10/08/1974,10/08/1974,52,28,19
09/24/1974,09/24/1974,49,28,21
09/03/1974,09/03/1974,66,12,20
08/13/1974,08/13/1974,70,3,26
